TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SEASON
1610612749,Milwaukee Bucks,35,27,8,0.771,128.318333,99,223,0.444,33,89,0.371,71,91,0.78,31,100,131,57,43.0,9,9,7,66,72,302,35.0,29,4,1,1,28,24,25,9,15,24,4,28,28,16,23,18,19,20,19,30,26,1,4,28,25,5,2022-23
1610612750,Minnesota Timberwolves,48,28,20,0.583,187.191667,134,313,0.428,40,124,0.323,91,125,0.728,41,115,156,70,56.0,29,24,16,89,93,399,14.0,4,2,10,7,5,8,9,16,8,7,14,17,14,24,11,8,9,10,29,3,3,13,13,10,9,12,2022-23
1610612740,New Orleans Pelicans,37,17,20,0.459,152.11,125,251,0.498,26,73,0.356,85,110,0.773,27,86,113,73,38.0,23,15,13,80,88,361,43.0,22,22,10,20,18,11,20,2,23,27,5,23,24,18,26,25,27,7,8,8,19,9,8,12,16,4,2022-23
1610612752,New York Knicks,45,23,22,0.511,199.53,141,322,0.438,34,115,0.296,130,173,0.751,58,125,183,58,52.0,23,23,24,138,123,446,-65.0,6,11,17,14,3,6,6,14,13,9,21,2,1,21,1,5,4,19,25,8,5,27,30,2,5,29,2022-23
1610612760,Oklahoma City Thunder,43,17,26,0.395,167.956667,119,296,0.402,25,92,0.272,87,108,0.806,38,115,153,57,39.0,29,9,19,111,87,350,-30.0,13,22,26,26,14,16,11,27,24,21,26,21,26,9,15,8,10,20,10,3,26,19,27,13,19,22,2022-23
1610612753,Orlando Magic,44,19,25,0.432,148.875,111,252,0.44,25,90,0.278,104,117,0.889,34,91,125,51,43.0,17,9,20,107,79,351,-39.0,9,20,24,22,19,20,19,12,24,22,24,8,20,1,22,24,22,25,19,22,26,22,26,23,17,27,2022-23
1610612755,Philadelphia 76ers,45,28,17,0.622,176.153333,122,276,0.442,42,106,0.396,119,139,0.856,35,124,159,78,52.0,27,17,17,91,102,405,75.0,6,2,6,3,9,14,17,11,7,13,2,6,6,2,19,6,6,4,25,6,17,14,15,7,7,1,2022-23
1610612756,Phoenix Suns,36,17,19,0.472,145.708333,105,256,0.41,31,90,0.344,84,119,0.706,52,77,129,63,40.0,25,15,17,80,86,325,-9.0,26,22,8,17,22,21,18,26,19,22,8,25,17,27,3,28,21,15,14,7,19,14,8,17,23,19,2022-23
1610612757,Portland Trail Blazers,36,15,21,0.417,147.978333,100,236,0.424,32,97,0.33,97,119,0.815,30,92,122,55,42.0,13,18,18,82,90,329,-33.0,26,26,13,24,21,23,22,20,18,17,12,13,17,6,24,22,23,23,16,26,14,16,10,11,21,23,2022-23
1610612758,Sacramento Kings,44,25,19,0.568,184.49,172,339,0.507,43,114,0.377,121,150,0.807,46,106,152,71,31.0,29,6,18,90,108,508,49.0,9,6,8,9,6,1,4,1,4,10,3,5,5,8,6,14,11,9,2,3,30,16,14,5,1,3,2022-23
1610612759,San Antonio Spurs,28,11,17,0.393,111.253333,76,178,0.427,17,57,0.298,64,80,0.8,20,67,87,43,40.0,12,11,11,62,50,233,-35.0,30,29,6,28,29,30,30,18,29,30,19,29,30,10,29,30,30,28,14,28,24,3,2,30,30,25,2022-23
1610612761,Toronto Raptors,44,19,25,0.432,163.226667,116,277,0.419,28,107,0.262,87,110,0.791,46,98,144,70,42.0,22,21,11,103,84,347,2.0,9,20,24,22,16,18,16,22,20,12,29,21,24,12,6,19,15,10,16,10,10,3,23,21,20,16,2022-23
1610612762,Utah Jazz,52,23,29,0.442,199.301667,153,341,0.449,53,150,0.353,130,166,0.783,57,143,200,87,57.0,18,20,28,115,116,489,21.0,3,11,29,21,4,3,3,8,2,3,6,2,4,14,2,2,1,1,30,19,12,29,28,4,3,10,2022-23
1610612764,Washington Wizards,41,15,26,0.366,148.831667,95,230,0.413,21,88,0.239,89,113,0.788,36,95,131,37,42.0,19,25,12,82,77,300,-35.0,17,26,26,29,20,26,23,25,27,25,30,18,23,13,18,20,19,30,16,17,1,5,10,24,26,25,2022-23
1610612737,Atlanta Hawks,47,21,26,0.447,175.903333,118,308,0.383,29,108,0.269,112,148,0.757,52,103,155,44,37.0,21,16,20,88,107,377,-65.0,2,10,27,22,2,6,3,27,17,6,25,4,2,23,1,6,3,24,20,9,14,19,26,2,6,27,2023-24
1610612738,Boston Celtics,33,21,12,0.636,127.33,94,210,0.448,32,91,0.352,92,110,0.836,31,91,122,51,26.0,12,21,10,64,69,312,62.0,25,10,3,4,23,22,25,13,12,17,7,8,14,7,20,14,16,21,4,26,7,1,9,22,18,4,2023-24
1610612751,Brooklyn Nets,35,15,20,0.429,161.043333,127,290,0.438,35,117,0.299,89,115,0.774,38,105,143,63,35.0,19,31,18,80,87,378,-11.0,21,24,17,23,4,4,5,19,6,4,20,11,8,19,12,4,7,11,17,15,1,15,16,6,5,17,2023-24
